Target Name,Alert Name,Resource Type,Metric,Metric Display Name,Unit,Aggregation Type,Description,Enable for monitoring,Tag Name,Threshold,Operator,Eval Frequency,Window Size,Aggregation Time,Alert Description,Severity
fortemijobspreprod,mitieblob-sasauthorizationerror,Microsoft.Storage/blob,Transactions,mitieblob-sasauthorizationerror,,Total,Total Transactions,yes,,5,GreaterThan,PT1M,PT5M,Total,,3
fortemijobspreprod,mitieblob-sasclientothererror,Microsoft.Storage/blob,Transactions,mitieblob-sasclientothererror,,Total,Total Transactions,yes,,20,GreaterThan,PT1M,PT5M,Total,,3
fortemijobspreprod,mitieblob-sasclienttimeouterror,Microsoft.Storage/blob,Transactions,mitieblob-sasclienttimeouterror,,Total,Total Transactions,yes,,5,GreaterThan,PT1M,PT5M,Total,,3
fortemijobspreprod,mitieblob-sasnetworkerror,Microsoft.Storage/blob,Transactions,mitieblob-sasnetworkerror,,Total,Total Transactions,yes,,5,GreaterThan,PT1M,PT5M,Total,,3
fortemijobspreprod,mitieblob-sasserverothererror,Microsoft.Storage/blob,Transactions,mitieblob-sasserverothererror,,Total,Total Transactions,yes,,5,GreaterThan,PT1M,PT5M,Total,,3
fortemijobspreprod,mitieblob-sasservertimeouterror,Microsoft.Storage/blob,Transactions,mitieblob-sasservertimeouterror,,Total,Total Transactions,yes,,5,GreaterThan,PT1M,PT5M,Total,,3
fortemijobspreprod,mitieblob-sassuccess,Microsoft.Storage/blob,Transactions,mitieblob-sassuccess,,Total,Total Transactions,yes,,80,GreaterThan,PT1M,PT5M,Total,,3
fortemijobspreprod,mitieblob-serverothererror,Microsoft.Storage/blob,Transactions,mitieblob-serverothererror,,Total,Total Transactions,yes,,5,GreaterThan,PT1M,PT5M,Total,,3
fortemijobspreprod,mitieblob-servertimeouterror,Microsoft.Storage/blob,Transactions,mitieblob-servertimeouterror,,Total,Total Transactions,yes,,5,GreaterThan,PT1M,PT5M,Total,,3
fortemijobspreprod,mitieblob-success,Microsoft.Storage/blob,Transactions,mitieblob-success,,Total,Total Transactions,yes,,0,LessThan,PT1M,PT5M,Total,,3
fortemijobspreprod,mitieblob-totalbillablerequest,Microsoft.Storage/blob,Transactions,mitieblob-totalbillablerequest,,Total,Total Transactions,yes,,0,LessThan,PT1M,PT5M,Total,,3
fortemijobspreprod,MitieBlob-TotalEgress,Microsoft.Storage/blob,Egress,MitieBlob-TotalEgress,,Total,Egress,yes,,3000000000,GreaterThan,PT1M,PT5M,Total,,3
fortemijobspreprod,MitieBlob-TotalIngress,Microsoft.Storage/blob,Ingress,MitieBlob-TotalIngress,,Total,Ingress,yes,,1000000000,GreaterThan,PT1M,PT5M,Total,,3
fortemijobspreprod,mitieblob-totalrequest,Microsoft.Storage/blob,Transactions,mitieblob-totalrequest,,Total,Total Transactions,yes,,35000,GreaterThan,PT1M,PT5M,Total,,3
fortemijobspreprod,mitiestorage-aauthorizationerror,Microsoft.Storage/blob,Transactions,mitiestorage-aclientothererror,,Total,Total Transactions,yes,,1,GreaterThan,PT1M,PT5M,Total,,3
fortemijobspreprod,mitiestorage-aclientothererror,Microsoft.Storage/blob,Transactions,mitiestorage-aclientothererror,,Total,Total Transactions,yes,,1,GreaterThan,PT1M,PT5M,Total,,3
fortemijobspreprod,mitiestorage-aclienttimeouterror,Microsoft.Storage/blob,Transactions,mitiestorage-aclienttimeouterror,,Total,Total Transactions,yes,,1,GreaterThan,PT1M,PT5M,Total,,3
