Target Name,Alert Name,Resource Type,Metric,Metric Display Name,Unit,Aggregation Type,Description,Enable for monitoring,Tag Name,Threshold,Operator,Eval Frequency,Window Size,Aggregation Time,Alert Description,Severity
mijobsprodadminapp,Average Memory,Microsoft.Web/sites,AverageMemoryWorkingSet,Average Memory,B,Average,Average Memory,yes,,209715200,GreaterThan,PT1M,PT5M,Count,,3
mijobsprodadminapp,Average Response Time,Microsoft.Web/sites,AverageResponseTime,Average Response Time,Seconds,Average,Average Response Time,yes,,15,GreaterThan,PT1M,PT5M,Count,,3
mijobsprodadminapp,Average Response Time_Long,Microsoft.Web/sites,AverageResponseTime,Average Response Time_Long,Seconds,Average,Average Response Time,yes,,15,GreaterThan,PT1M,PT5M,Count,,3
mijobsprodadminapp,CPU Time,Microsoft.Web/sites,CpuTime,CPU Time,Seconds,Total,CPU Time,yes,,1200,GreaterThan,PT1M,PT5M,Count,,3
mijobsprodadminapp,Data In,Microsoft.Web/sites,BytesReceived,Data In,B,Total,BytesReceived,yes,,20971520,GreaterThan,PT1M,PT5M,Count,,3
mijobsprodadminapp,Data Out,Microsoft.Web/sites,BytesSent,Data Out,B,Total,BytesSent,yes,,20971520,GreaterThan,PT1M,PT5M,Count,,3
mijobsprodadminapp,HTTP 2xx,Microsoft.Web/sites,Http2xx,HTTP 2xx,,Total,HTTP 2xx,yes,,0,LessThanOrEqual,PT1M,PT5M,Count,,3
mijobsprodadminapp,HTTP 3xx,Microsoft.Web/sites,Http3xx,HTTP3xx,,Total,HTTP 3xx,yes,,50,GreaterThan,PT1M,PT5M,Count,,3
mijobsprodadminapp,HTTP 401,Microsoft.Web/sites,Http401,HTTP 401,,Total,HTTP 401,yes,,50,GreaterThan,PT1M,PT5M,Count,,3
mijobsprodadminapp,HTTP 403,Microsoft.Web/sites,Http403,HTTP 403,,Total,HTTP 403,yes,,50,GreaterThan,PT1M,PT5M,Count,,3
mijobsprodadminapp,HTTP 404,Microsoft.Web/sites,Http404,HTTP 404,,Total,HTTP 404,yes,,50,GreaterThan,PT1M,PT5M,Count,,3
mijobsprodadminapp,HTTP 406,Microsoft.Web/sites,Http406,HTTP 406,,Total,HTTP 406,yes,,50,GreaterThan,PT1M,PT5M,Count,,3
mijobsprodadminapp,HTTP 4xx,Microsoft.Web/sites,Http4xx,HTTP 4xx,,Total,HTTP 4xx,yes,,50,GreaterThan,PT1M,PT5M,Count,,3
mijobsprodadminapp,HTTP 5xx,Microsoft.Web/sites,Http5xx,HTTP 5xx,,Total,HTTP 5xx,yes,,50,GreaterThan,PT1M,PT5M,Count,,3
